               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.021019,            0.011296,           0.0081571,            0.038162,             0.12731,             0.02985,            0.011738,            0.036715,            0.011392,            0.022223,           2.357e-05,           2.357e-05,             0.13163
                   1,            0.020103,            0.010998,            0.007591,             0.51547,             0.32544,             0.33948,             0.17249,            0.022697,           0.0087956,            0.010457,          4.7074e-05,          4.7074e-05,            0.076523
                   2,            0.019429,            0.010784,            0.006908,             0.65344,             0.48488,             0.53217,             0.30118,            0.019821,           0.0080515,            0.005825,          7.0445e-05,          7.0445e-05,             0.02142
                   3,            0.018891,            0.010504,           0.0063575,             0.69837,             0.55171,             0.61217,             0.36235,            0.018788,           0.0076089,           0.0043137,          7.9321e-05,          7.9321e-05,          7.9321e-05
                   4,            0.018822,            0.010425,           0.0062874,             0.69809,              0.5462,             0.60517,             0.35739,              0.0188,           0.0076187,           0.0043613,          7.9321e-05,          7.9321e-05,          7.9321e-05
                   5,            0.018828,            0.010596,           0.0063199,             0.71293,              0.5442,             0.61409,             0.36495,            0.018757,           0.0075999,           0.0043311,          7.9095e-05,          7.9095e-05,          7.9095e-05
                   6,            0.018867,            0.010499,           0.0063238,             0.73592,             0.53371,               0.614,             0.36382,            0.018788,           0.0075795,           0.0042791,          7.8868e-05,          7.8868e-05,          7.8868e-05
                   7,            0.018777,            0.010525,            0.006299,             0.71215,             0.54325,              0.6108,             0.36139,            0.018724,           0.0075829,           0.0043573,          7.8642e-05,          7.8642e-05,          7.8642e-05
                   8,            0.018869,            0.010512,           0.0063381,              0.7146,             0.54374,             0.61266,             0.36292,            0.018701,           0.0075955,           0.0043127,          7.8416e-05,          7.8416e-05,          7.8416e-05
                   9,            0.018797,            0.010435,           0.0063438,             0.69576,             0.55759,             0.61153,             0.36315,            0.018684,           0.0075873,           0.0043098,           7.819e-05,           7.819e-05,           7.819e-05
                  10,            0.018836,            0.010479,           0.0062581,             0.72378,             0.54225,             0.61315,             0.36532,            0.018704,           0.0075947,           0.0042711,          7.7963e-05,          7.7963e-05,          7.7963e-05
                  11,            0.018773,            0.010476,           0.0062113,             0.73934,             0.53519,             0.61315,             0.36549,            0.018666,           0.0075639,           0.0042942,          7.7737e-05,          7.7737e-05,          7.7737e-05
                  12,            0.018846,             0.01048,           0.0062801,             0.71035,              0.5496,             0.61237,             0.36405,             0.01871,           0.0075783,           0.0042924,          7.7511e-05,          7.7511e-05,          7.7511e-05
                  13,             0.01877,            0.010439,           0.0062507,             0.73258,             0.53646,             0.61185,             0.36463,            0.018676,           0.0075808,           0.0042975,          7.7284e-05,          7.7284e-05,          7.7284e-05
                  14,            0.018863,            0.010488,           0.0062663,             0.71558,             0.54685,              0.6143,             0.36725,            0.018666,           0.0075758,           0.0042718,          7.7058e-05,          7.7058e-05,          7.7058e-05
                  15,            0.018844,            0.010507,            0.006258,              0.7235,              0.5393,             0.61406,             0.36746,            0.018693,           0.0075905,           0.0042277,          7.6832e-05,          7.6832e-05,          7.6832e-05
                  16,             0.01886,            0.010531,           0.0062051,             0.74251,             0.53542,             0.61586,             0.36655,            0.018603,           0.0075568,           0.0042683,          7.6605e-05,          7.6605e-05,          7.6605e-05
                  17,            0.018708,             0.01042,           0.0062294,             0.69885,             0.55676,             0.61481,             0.36593,             0.01861,           0.0075662,           0.0042772,          7.6379e-05,          7.6379e-05,          7.6379e-05
                  18,            0.018752,            0.010466,           0.0062584,             0.74035,             0.53612,             0.61463,             0.36693,            0.018607,           0.0075863,           0.0042435,          7.6153e-05,          7.6153e-05,          7.6153e-05
                  19,            0.018816,            0.010483,           0.0062765,             0.67875,              0.5659,             0.61723,              0.3675,            0.018616,           0.0075832,           0.0042529,          7.5926e-05,          7.5926e-05,          7.5926e-05
                  20,              0.0187,            0.010388,           0.0061927,             0.72007,             0.54324,             0.61495,             0.36747,            0.018594,           0.0075505,           0.0042077,            7.57e-05,            7.57e-05,            7.57e-05
