               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.036115,            0.013101,            0.015853,           0.0037823,             0.14698,           0.0030845,          0.00064757,            0.036351,           0.0096131,            0.016121,          0.00029462,          0.00029462,              0.1319
                   1,             0.03317,            0.013153,            0.015487,             0.31368,             0.05682,           0.0075826,           0.0018177,            0.034441,           0.0098557,            0.015814,          0.00058909,          0.00058909,            0.077065
                   2,            0.031676,            0.013159,            0.015182,            0.017416,              0.1383,            0.014783,           0.0039785,            0.033028,           0.0099027,             0.01529,          0.00088256,          0.00088256,            0.022232
                   3,            0.030492,            0.012919,            0.014902,              0.1392,             0.11409,            0.023462,           0.0065003,             0.03218,           0.0099038,            0.014917,          0.00099491,          0.00099491,          0.00099491
                   4,             0.02945,            0.012728,            0.014596,             0.19919,             0.13067,            0.036072,            0.012005,            0.030859,           0.0095717,            0.014506,          0.00099491,          0.00099491,          0.00099491
                   5,            0.028713,            0.012812,            0.014399,             0.22902,              0.1469,            0.052703,            0.018223,            0.029799,           0.0094859,            0.014163,          0.00099321,          0.00099321,          0.00099321
                   6,             0.02811,            0.012599,            0.014113,             0.23618,             0.15402,            0.054972,            0.020002,            0.029436,           0.0095283,            0.013872,          0.00099151,          0.00099151,          0.00099151
                   7,            0.027608,            0.012611,             0.01391,             0.19172,              0.1524,            0.064159,             0.02256,            0.028829,           0.0094808,            0.013463,          0.00098982,          0.00098982,          0.00098982
                   8,            0.027268,            0.012565,            0.013772,              0.2095,             0.18559,            0.079708,            0.030731,            0.028244,           0.0093818,            0.013079,          0.00098812,          0.00098812,          0.00098812
                   9,            0.026781,            0.012438,            0.013502,             0.21537,             0.20845,            0.092959,            0.037736,             0.02802,           0.0093386,            0.012883,          0.00098642,          0.00098642,          0.00098642
                  10,            0.026509,            0.012466,            0.013246,             0.21338,             0.22952,              0.0979,            0.038735,             0.02745,           0.0093018,            0.012661,          0.00098472,          0.00098472,          0.00098472
