               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.036323,            0.012945,            0.015976,           0.0049284,             0.23695,           0.0055603,           0.0014586,            0.041451,           0.0084739,            0.016447,          0.00098202,          0.00098202,              0.1327
                   1,            0.032957,            0.013186,            0.015372,             0.36609,            0.075344,           0.0078259,           0.0016099,            0.035196,            0.010519,            0.016079,           0.0019642,           0.0019642,            0.078506
                   2,            0.031343,            0.013149,            0.015076,            0.072558,             0.14344,            0.017054,           0.0043102,            0.033091,            0.010001,            0.015283,           0.0029407,           0.0029407,            0.024309
                   3,            0.030205,            0.012869,            0.014815,             0.13996,             0.16151,            0.032395,            0.008954,            0.031338,           0.0096617,            0.014937,           0.0033117,           0.0033117,           0.0033117
                   4,            0.029078,            0.012685,            0.014541,             0.27081,             0.11639,            0.042985,            0.014341,            0.030596,           0.0093342,            0.014425,           0.0033117,           0.0033117,           0.0033117
                   5,            0.028387,             0.01278,            0.014278,             0.19986,             0.14493,            0.058548,            0.020971,            0.029546,           0.0093854,            0.013937,           0.0033022,           0.0033022,           0.0033022
                   6,            0.027823,            0.012568,            0.013912,              0.2185,             0.13226,            0.063164,            0.020484,            0.029284,           0.0093402,            0.013465,           0.0032928,           0.0032928,           0.0032928
                   7,            0.027275,            0.012578,             0.01366,             0.20767,             0.19395,            0.073797,            0.025074,            0.028818,           0.0093216,            0.013523,           0.0032833,           0.0032833,           0.0032833
                   8,            0.026975,            0.012563,            0.013442,             0.24888,             0.17485,            0.097484,            0.037571,            0.028634,           0.0092978,            0.012666,           0.0032739,           0.0032739,           0.0032739
                   9,             0.02653,            0.012402,            0.013168,             0.18859,             0.17788,            0.090106,            0.034704,            0.028653,           0.0094894,            0.012916,           0.0032644,           0.0032644,           0.0032644
                  10,            0.026349,            0.012425,            0.012905,             0.25078,              0.2062,             0.10845,            0.043236,            0.027555,           0.0092566,            0.012882,            0.003255,            0.003255,            0.003255
                  11,            0.026053,            0.012367,            0.012672,             0.31045,             0.19318,             0.12965,            0.052006,            0.027206,           0.0091319,            0.011856,           0.0032455,           0.0032455,           0.0032455
                  12,            0.025786,            0.012284,             0.01251,             0.27926,             0.21486,             0.12601,            0.051092,            0.026556,           0.0091039,            0.011716,           0.0032361,           0.0032361,           0.0032361
                  13,            0.025553,            0.012222,             0.01229,             0.38955,             0.19288,             0.14661,             0.05904,            0.026361,           0.0090401,            0.011734,           0.0032266,           0.0032266,           0.0032266
                  14,            0.025407,            0.012228,            0.012097,             0.37366,             0.20963,             0.15794,            0.070164,            0.025913,           0.0090083,            0.011615,           0.0032172,           0.0032172,           0.0032172
                  15,            0.025101,            0.012186,            0.011917,             0.31056,             0.24996,             0.16728,            0.071193,            0.025973,           0.0090714,             0.01116,           0.0032077,           0.0032077,           0.0032077
                  16,            0.024937,              0.0122,            0.011652,             0.34511,             0.22158,             0.16995,            0.072932,            0.025572,           0.0089286,            0.010894,           0.0031983,           0.0031983,           0.0031983
                  17,            0.024742,            0.012073,            0.011568,             0.28944,              0.2797,             0.19857,            0.089366,            0.025247,           0.0089538,             0.01052,           0.0031888,           0.0031888,           0.0031888
                  18,            0.024512,            0.012086,            0.011377,             0.39482,             0.26723,             0.21341,            0.095244,            0.024958,           0.0088405,             0.01019,           0.0031794,           0.0031794,           0.0031794
                  19,            0.024428,            0.012051,            0.011324,             0.29841,             0.27584,             0.21717,              0.0976,            0.025033,           0.0087886,            0.010112,           0.0031699,           0.0031699,           0.0031699
                  20,            0.024188,            0.011987,            0.011114,             0.36335,             0.26625,              0.2249,               0.101,            0.024765,           0.0088241,           0.0099236,           0.0031605,           0.0031605,           0.0031605
                  21,            0.024164,            0.012111,            0.011069,             0.37415,             0.27913,              0.2398,             0.10938,             0.02445,           0.0087198,           0.0096809,            0.003151,            0.003151,            0.003151
                  22,            0.023991,            0.012028,            0.010918,             0.30246,             0.29686,             0.24504,             0.11404,            0.024524,           0.0087457,           0.0095696,           0.0031416,           0.0031416,           0.0031416
                  23,            0.023942,            0.012101,            0.010887,              0.3083,             0.30465,             0.25374,             0.11618,            0.024367,           0.0086868,           0.0092794,           0.0031321,           0.0031321,           0.0031321
                  24,            0.023849,             0.01192,            0.010796,             0.34203,             0.28158,             0.25059,             0.11499,            0.024192,           0.0087447,           0.0095948,           0.0031227,           0.0031227,           0.0031227
                  25,            0.023776,            0.011946,            0.010765,              0.4462,             0.29887,              0.2684,             0.12658,            0.024159,           0.0088187,            0.009337,           0.0031132,           0.0031132,           0.0031132
                  26,            0.023672,            0.011916,            0.010579,             0.36048,             0.34179,             0.28611,             0.13211,            0.023729,           0.0086334,           0.0088814,           0.0031038,           0.0031038,           0.0031038
                  27,            0.023601,            0.011881,            0.010513,             0.40166,             0.31005,             0.27748,             0.12932,            0.023803,           0.0087117,           0.0088803,           0.0030943,           0.0030943,           0.0030943
                  28,            0.023496,            0.011963,            0.010435,             0.44402,             0.31954,              0.2962,             0.13811,            0.023604,           0.0086649,           0.0086343,           0.0030849,           0.0030849,           0.0030849
                  29,            0.023493,            0.011945,            0.010372,              0.3673,              0.3478,             0.30568,             0.14518,            0.023649,           0.0086151,           0.0084284,           0.0030754,           0.0030754,           0.0030754
                  30,            0.023365,            0.011915,            0.010242,             0.39705,             0.31826,             0.30242,             0.14379,            0.023606,           0.0086921,           0.0084835,            0.003066,            0.003066,            0.003066
                  31,             0.02333,            0.011812,            0.010178,             0.46486,             0.33266,             0.31966,             0.15119,            0.023332,           0.0085645,           0.0082373,           0.0030566,           0.0030566,           0.0030566
                  32,             0.02332,            0.011843,            0.010148,             0.46877,             0.32859,             0.33144,             0.15998,            0.023233,           0.0085363,           0.0082123,           0.0030471,           0.0030471,           0.0030471
                  33,            0.023249,            0.011714,            0.010055,             0.42373,             0.35408,             0.32364,             0.15507,            0.023154,           0.0085694,           0.0080946,           0.0030377,           0.0030377,           0.0030377
                  34,            0.023189,            0.011766,            0.010019,             0.45612,             0.35941,             0.34108,             0.16123,            0.023117,           0.0084497,           0.0079424,           0.0030282,           0.0030282,           0.0030282
                  35,            0.023074,            0.011716,           0.0099403,             0.48222,             0.35407,             0.34498,             0.16787,            0.022956,           0.0084696,           0.0079316,           0.0030188,           0.0030188,           0.0030188
                  36,            0.023097,            0.011776,           0.0099518,             0.47192,             0.35227,             0.34724,             0.16859,            0.023039,           0.0084833,           0.0077829,           0.0030093,           0.0030093,           0.0030093
